"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"Italy (IT)","23.06.2015 04:00 - 23.06.2015 05:00 (CET/CEST)","281","n/e","n/e","N/A","3658","1353","135","n/e","n/e","641","0","223","3797","434","n/e","n/e","8456","n/e","0","56","n/e","2172"
"Italy (IT)","23.06.2015 05:00 - 23.06.2015 06:00 (CET/CEST)","278","n/e","n/e","N/A","3982","1375","141","n/e","n/e","641","0","303","3895","573","n/e","n/e","8252","n/e","10","56","n/e","2352"
"Italy (IT)","23.06.2015 06:00 - 23.06.2015 07:00 (CET/CEST)","279","n/e","n/e","N/A","4495","1374","186","n/e","n/e","641","14","144","4812","810","n/e","n/e","9132","n/e","366","44","n/e","2447"
"Italy (IT)","23.06.2015 07:00 - 23.06.2015 08:00 (CET/CEST)","268","n/e","n/e","N/A","4850","1306","193","n/e","n/e","639","195","40","6203","1259","n/e","n/e","10921","n/e","1748","35","n/e","2344"
"Italy (IT)","23.06.2015 08:00 - 23.06.2015 09:00 (CET/CEST)","280","n/e","n/e","N/A","5028","1300","195","n/e","n/e","638","1109","1","6965","1461","n/e","n/e","11836","n/e","3823","35","n/e","2268"
"Italy (IT)","23.06.2015 09:00 - 23.06.2015 10:00 (CET/CEST)","281","n/e","n/e","N/A","4721","1372","241","n/e","n/e","635","1041","1","6791","1687","n/e","n/e","11912","n/e","5980","35","n/e","2519"
"Italy (IT)","23.06.2015 10:00 - 23.06.2015 11:00 (CET/CEST)","279","n/e","n/e","N/A","4679","1336","202","n/e","n/e","635","783","1","6376","1669","n/e","n/e","11512","n/e","7548","55","n/e","2778"
"Italy (IT)","23.06.2015 11:00 - 23.06.2015 12:00 (CET/CEST)","281","n/e","n/e","N/A","4733","1218","201","n/e","n/e","630","387","149","5919","1555","n/e","n/e","11520","n/e","8498","54","n/e","2865"
"Italy (IT)","23.06.2015 12:00 - 23.06.2015 13:00 (CET/CEST)","281","n/e","n/e","N/A","4162","1121","198","n/e","n/e","630","281","154","5455","1506","n/e","n/e","10229","n/e","9041","54","n/e","3029"
"Italy (IT)","23.06.2015 13:00 - 23.06.2015 14:00 (CET/CEST)","278","n/e","n/e","N/A","4364","1127","194","n/e","n/e","627","178","6","5278","1328","n/e","n/e","9911","n/e","8835","54","n/e","3184"
"Italy (IT)","23.06.2015 14:00 - 23.06.2015 15:00 (CET/CEST)","277","n/e","n/e","N/A","4754","1101","194","n/e","n/e","629","530","146","5466","1416","n/e","n/e","10279","n/e","8051","54","n/e","3421"
"Italy (IT)","23.06.2015 15:00 - 23.06.2015 16:00 (CET/CEST)","277","n/e","n/e","N/A","4967","1161","194","n/e","n/e","631","902","1","6243","1521","n/e","n/e","10446","n/e","6841","53","n/e","3426"
"Italy (IT)","23.06.2015 16:00 - 23.06.2015 17:00 (CET/CEST)","276","n/e","n/e","N/A","5235","1298","194","n/e","n/e","635","713","","6506","1582","n/e","n/e","11739","n/e","6119","53","n/e","3332"
"Italy (IT)","23.06.2015 17:00 - 23.06.2015 18:00 (CET/CEST)","277","n/e","n/e","N/A","5259","1415","194","n/e","n/e","636","810","","7036","1599","n/e","n/e","11957","n/e","4438","52","n/e","3454"
"Italy (IT)","23.06.2015 18:00 - 23.06.2015 19:00 (CET/CEST)","277","n/e","n/e","N/A","5069","1429","205","n/e","n/e","636","1100","","7287","1636","n/e","n/e","12068","n/e","2192","54","n/e","3397"
