Date,€/MWh
14/10/2016,53.631101
15/10/2016,44.084011
16/10/2016,41.777985
17/10/2016,54.769374
18/10/2016,59.833301
19/10/2016,59.847705
20/10/2016,65.468168
21/10/2016,65.783245
22/10/2016,55.053773
23/10/2016,49.580545
24/10/2016,65.742398
25/10/2016,70.175109
26/10/2016,66.837102
27/10/2016,56.926053
28/10/2016,55.240007
29/10/2016,50.095890
30/10/2016,49.356706
31/10/2016,49.026994
01/11/2016,50.951753
02/11/2016,58.956715
03/11/2016,60.480380
04/11/2016,65.808219
05/11/2016,49.510825
06/11/2016,45.278117
07/11/2016,70.322953
08/11/2016,65.088815
09/11/2016,64.964841
10/11/2016,61.606494
11/11/2016,56.563372
12/11/2016,53.477125
13/11/2016,56.061674
14/11/2016,78.420073
15/11/2016,80.047545
16/11/2016,68.275281
17/11/2016,61.381653
18/11/2016,58.234295
19/11/2016,52.754485
20/11/2016,49.436219
21/11/2016,54.903701
22/11/2016,56.755542
23/11/2016,53.403043
24/11/2016,53.298295
25/11/2016,52.676191
26/11/2016,47.324505
27/11/2016,42.549407
28/11/2016,57.429405
29/11/2016,56.550978
30/11/2016,67.305948
01/12/2016,74.460292
02/12/2016,67.368430
03/12/2016,54.969273
04/12/2016,44.857462
05/12/2016,61.388898
06/12/2016,64.113530
07/12/2016,57.993461
08/12/2016,51.750103
09/12/2016,54.340440
10/12/2016,51.192657
11/12/2016,51.630215
12/12/2016,57.186438
13/12/2016,59.466987
14/12/2016,63.338040
15/12/2016,63.869172
16/12/2016,59.811248
17/12/2016,52.061467
18/12/2016,51.485133
19/12/2016,61.253553
20/12/2016,61.826488
21/12/2016,63.385451
22/12/2016,65.128676
23/12/2016,56.053297
24/12/2016,50.459660
25/12/2016,43.022893
26/12/2016,47.712445
27/12/2016,56.360341
28/12/2016,48.720630
29/12/2016,46.253793
30/12/2016,56.188994
31/12/2016,51.869589
01/01/2017,50.734380
02/01/2017,58.985562
03/01/2017,55.909216
04/01/2017,60.912922
05/01/2017,54.361973
06/01/2017,54.417590
07/01/2017,56.723496
08/01/2017,56.671928
09/01/2017,65.527324
10/01/2017,82.562781
11/01/2017,77.568762
12/01/2017,82.541835
13/01/2017,77.484637
14/01/2017,62.898065
