date,total_res_mw,solar_mw,wind_mw,hydro_mw,biomass_mw,geothermal_mw,is_outlier,year,month,day,price_eur_mwh
2016-09-22,7732.916666666667,2157.5416666666665,1083.5416666666667,3548.9583333333335,294.1666666666667,648.7083333333334,False,2016,9,22,41.788916
2016-09-23,7415.916666666667,2387.125,406.875,3639.9166666666665,316.7916666666667,665.2083333333334,False,2016,9,23,44.956581
2016-09-24,6232.791666666667,2326.6666666666665,375.7083333333333,2534.9583333333335,322.625,672.8333333333334,False,2016,9,24,39.250505
2016-09-25,6430.25,2522.0,505.9166666666667,2410.1666666666665,318.0,674.1666666666666,False,2016,9,25,36.480545
2016-09-26,7570.833333333333,2466.6666666666665,583.4166666666666,3558.125,299.2916666666667,663.3333333333334,False,2016,9,26,42.614098
2016-09-27,7187.166666666667,2394.1666666666665,495.5,3358.625,297.1666666666667,641.7083333333334,False,2016,9,27,42.932764
2016-09-28,7607.583333333333,2557.7083333333335,866.9583333333334,3217.9166666666665,303.9166666666667,661.0833333333334,False,2016,9,28,44.215616
2016-09-29,7053.666666666667,2659.5,332.875,3080.4166666666665,310.3333333333333,670.5416666666666,False,2016,9,29,42.937466
2016-09-30,7038.083333333333,2345.7916666666665,488.7083333333333,3213.8333333333335,313.7083333333333,676.0416666666666,False,2016,9,30,43.506831
2016-10-01,6401.458333333333,1983.25,775.0,2666.7916666666665,305.7916666666667,670.625,False,2016,10,1,45.735712
2016-10-02,6272.333333333333,1528.3333333333333,1632.2083333333333,2154.875,289.6666666666667,667.25,False,2016,10,2,39.502977
2016-10-03,8288.916666666666,2380.9166666666665,1679.9166666666667,3295.625,264.2916666666667,668.1666666666666,False,2016,10,3,45.414233
2016-10-04,7199.833333333333,2428.7083333333335,1030.125,2825.5,244.33333333333334,671.1666666666666,False,2016,10,4,45.221147
2016-10-05,8173.833333333333,2408.5833333333335,1754.875,3079.1666666666665,260.3333333333333,670.875,False,2016,10,5,45.549147
