date,total_res_mw,solar_mw,wind_mw,hydro_mw,biomass_mw,geothermal_mw,is_outlier,year,month,day
2020-05-23,13591.916666666666,3594.0,1278.7083333333333,7387.666666666667,682.7916666666666,648.75,False,2020,5,23
2020-05-24,13118.916666666666,3631.6666666666665,1303.875,6851.5,685.75,646.125,False,2020,5,24
2020-05-25,14662.708333333334,3729.5833333333335,2129.1666666666665,7515.666666666667,667.2916666666666,621.0,False,2020,5,25
2020-05-26,16032.083333333334,3593.25,3134.0833333333335,8017.833333333333,634.375,652.5416666666666,False,2020,5,26
2020-05-27,16404.5,3728.7916666666665,3722.2916666666665,7680.916666666667,627.625,644.875,False,2020,5,27
2020-05-28,14490.625,3352.875,2512.75,7340.875,643.7083333333334,640.4166666666666,False,2020,5,28
2020-05-29,11982.708333333334,2584.7916666666665,1017.2083333333334,7098.666666666667,638.2083333333334,643.8333333333334,False,2020,5,29
2020-05-30,10697.416666666666,2535.5833333333335,589.5,6306.541666666667,640.6666666666666,625.125,False,2020,5,30
2020-05-31,11096.5,3118.0833333333335,798.1666666666666,5935.083333333333,613.0416666666666,632.125,False,2020,5,31
2020-06-01,12794.083333333334,3561.125,1981.9583333333333,6035.166666666667,595.5416666666666,620.2916666666666,False,2020,6,1
2020-06-02,12198.458333333334,3476.5,1513.5416666666667,5999.291666666667,591.2916666666666,617.8333333333334,False,2020,6,2
2020-06-03,12736.625,3495.875,1338.625,6690.166666666667,590.2083333333334,621.75,False,2020,6,3
2020-06-04,14455.458333333334,2166.125,3942.5,7155.583333333333,609.625,581.625,False,2020,6,4
2020-06-05,15149.333333333334,2468.4583333333335,4140.5,7367.541666666667,595.25,577.5833333333334,False,2020,6,5
2020-06-06,13765.5,3421.9166666666665,2524.6666666666665,6585.583333333333,611.75,621.5833333333334,False,2020,6,6
2020-06-07,13396.583333333334,2932.375,2420.375,6788.041666666667,633.25,622.5416666666666,False,2020,6,7
2020-06-08,14381.875,2235.9583333333335,2598.2916666666665,8316.375,615.7083333333334,615.5416666666666,False,2020,6,8
2020-06-09,14761.0,3029.4583333333335,2261.375,8240.166666666666,614.5416666666666,615.4583333333334,False,2020,6,9
